Comment,Designator,Footprint,LCSC
100nF,"C1,C2",C_0402_1005Metric,C1525
22pF,C3,C_0402_1005Metric,C1555
D_Schottky,D1,D_SMA,C2480
100K,R1,R_0402_1005Metric,C25741
10K,"R2,R3,R4,R5",R_0402_1005Metric,C25744
Crystal,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
SN74HC74N,U1,SOIC-14_3.9x8.7mm_P1.27mm,C6762
PCF8563T,U2,SOIC-8_3.9x4.9mm_P1.27mm,C7440
Jmp_CLKOUT,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
